"IPI Accession"	"IPI Description"	"Main Class"	Classification	"Protein coding"	"Phobius TM"	"Phobius SP"	"Phobius Topology"	"SOSUI TM"	"SOSUI TOPOLOGY"	"TMHMM TM"	"TMHMM Topology"
IPI00009883	"CYP39A1 Cytochrome P450 39A1"	Enzymes	1.14.13	Valid	3	Y	n8-19c23/24o266-290i354-372o416-435i	2	245-267,393-415	0	o
IPI00295772	"CYP51A1 cytochrome P450, family 51"	Enzymes	1.14.13	Valid	1	Y	n2-13c21/22o31-50i	1	14-36	1	i7-29o
IPI00305356	"CYP7A1 Cytochrome P450 7A1"	Enzymes	1.14.13	Valid	1	0	o6-24i	1	39896	1	i5-24o
IPI00027234	"CYP7B1 Cytochrome P450 7B1"	Enzymes	1.14.13	Valid	2	0	o17-37i289-309o	1	16-37	2	o15-37i287-309o
IPI00009440	"CYP8B1 Cytochrome P450 8B1"	Enzymes	1.14.13	Valid	2	0	o6-25i172-189o	1	39897	1	i3-25o
IPI00182179	"FMO1 Dimethylaniline monooxygenase [N-oxide-forming] 1"	Enzymes	1.14.13	Valid	1	Y	n5-12c16/17o513-531i	1	493-515	0	o
IPI00016005	"FMO2 Dimethylaniline monooxygenase [N-oxide-forming] 2"	Enzymes	1.14.13	Valid	1	Y	n5-16c21/22o510-530i	1	489-510	1	o489-511i
IPI00329033	"FMO3 Dimethylaniline monooxygenase [N-oxide-forming] 3"	Enzymes	1.14.13	Valid	1	Y	n5-16c21/22o510-531i	1	489-511	1	o488-510i
IPI00219008	"FMO4 Dimethylaniline monooxygenase [N-oxide-forming] 4"	Enzymes	1.14.13	Valid	1	Y	n5-15c20/21o518-540i	1	499-521	1	o497-519i
IPI00215760	"FMO5 Dimethylaniline monooxygenase [N-oxide-forming] 5"	Enzymes	1.14.13	Valid	1	Y	n6-16c21/22o514-532i	1	491-512	1	o489-511i
IPI00012190	"FMO6P Putative dimethylaniline monooxygenase [N-oxide-forming] 6"	Enzymes	1.14.13	Valid	1	Y	n5-12c16/17o518-538i	1	499-520	0	o
IPI00642771	"KMO Isoform 1 of Kynurenine 3-monooxygenase"	Enzymes	1.14.13	Valid	2	0	i385-406o426-445i	1	421-443	2	o385-404i425-447o
IPI00019899	"SC4MOL C-4 methylsterol oxidase"	Enzymes	1.14.13	Valid	4	0	o60-79i100-120o135-156i192-217o	4	5-27,52-74,96-118,196-218	3	o55-77i98-120o194-216i
IPI00644971	"- 56 kDa protein"	Enzymes	1.14.14	Valid	1	0	i123-142o	2	244-266,283-305	0	o
IPI00742001	"- Mutant cytochrome p450"	Enzymes	1.14.14	Valid	1	0	o20-40i	0	0	1	o15-37i
IPI00791258	"CYP19A1 CYP19A1 protein (Fragment)"	Enzymes	1.14.14	Valid	1	0	o20-39i	0	0	1	o20-39i
IPI00307246	"CYP1A2 Isoform 2 of Cytochrome P450 1A2"	Enzymes	1.14.14	Valid	2	0	o6-28i458-476o	2	7-29,463-484	1	i7-28o
IPI00873251	"CYP2D6 Debrisoquine 4-hydroxylase mutant allele variant (Fragment)"	Enzymes	1.14.14	Valid	2	Y	n11-21c26/27o42-60i367-392o	1	12359	1	i13-35o
IPI00418408	"CYP2D7P1 Cytochrome P450"	Enzymes	1.14.14	Valid	2	0	o6-23i302-325o	1	39897	2	o5-22i297-319o
IPI00164018	"CYP2S1 Isoform 2 of Cytochrome P450 2S1"	Enzymes	1.14.14	Valid	1	Y	n8-23c28/29o296-319i	0	0	1	o269-291i
IPI00783946	"CYP2U1 Isoform 1 of Cytochrome P450 2U1"	Enzymes	1.14.14	Valid	4	0	o34-51i258-278o341-367i495-515o	1	31-51	2	o34-51i113-130o
IPI00465138	"CYP3A4 Cytochrome P450 3A4"	Enzymes	1.14.14	Valid	1	Y	n13-24c29/30o219-241i	0	0	1	o190-212i
IPI00220495	"CYP3A43 Isoform 2 of Cytochrome P450 3A43"	Enzymes	1.14.14	Valid	2	0	o6-25i215-233o	3	4-25,40-62,215-237	3	i7-26o36-58i219-241o
IPI00025831	"CYP3A5 Cytochrome P450 3A5"	Enzymes	1.14.14	Valid	2	0	o6-25i215-233o	1	39896	2	o4-26i219-241o
IPI00164895	"CYP3A7 Cytochrome P450 variant 3A7"	Enzymes	1.14.14	Valid	1	0	o6-25i	1	39896	1	i7-26o
IPI00644258	"CYP4B1 cytochrome P450, family 4, subfamily B, polypeptide 1 isoform a"	Enzymes	1.14.14	Valid	1	0	o13-34i	1	40023	1	i5-27o
IPI00289171	"CYP4F12 Cytochrome P450 4F12"	Enzymes	1.14.14	Valid	1	Y	n20-31c36/37o472-492i	1	52-74	0	o
IPI00024332	"CYP4F8 Cytochrome P450 4F8"	Enzymes	1.14.14	Valid	1	Y	n3-11c16/17o26-42i	1	39929	1	i3-25o
IPI00166042	"CYP4X1 Cytochrome P450 4X1"	Enzymes	1.14.14	Valid	1	0	o14-34i	1	12754	1	i13-30o
IPI00787481	"CYP4Z1 similar to cytochrome P450 4Z1"	Enzymes	1.14.14	Valid	3	0	o12-33i110-128o148-169i	4	10-32,69-91,115-137,146-168	2	o10-32i76-93o
IPI00829998	"CYP4A11 Fatty acid omega-hydroxylase"	Enzymes	1.14.15	Valid	2	0	o18-39i120-140o	1	15-37	2	o15-32i118-140o
IPI00295854	"CYP4Z2P CDNA FLJ40054 fis, clone TBAES2000315, weakly similar to CYTOCHROME P450 4A1"	Enzymes	1.14.15	Valid	1	0	o12-33i	2	10-32,69-91	1	o10-32i
IPI00171678	"DBH Dopamine beta-hydroxylase"	Enzymes	1.14.17	Valid	1	0	o20-37i	1	19-41	1	i20-42o
IPI00177543	"PAM peptidylglycine alpha-amidating monooxygenase isoform a, preproprotein"	Enzymes	1.14.17.3/4.3.2.5	Valid	1	Y	n7-14c20/21o863-887i	1	843-865	1	o845-867i
IPI00027286	"TYR Isoform 1 of Tyrosinase precursor"	Enzymes	1.14.18	Valid	1	Y	n2-13c17/18o474-500i	1	459-481	1	o457-479i
IPI00299468	"SCD Acyl-CoA desaturase"	Enzymes	1.14.19	Valid	6	0	i72-93o105-123i222-239o251-273i285-301o313-334i	6	73-95,100-122,134-156,218-240,246-268,316-335	4	i71-93o98-120i217-239o249-271i
IPI00027181	"SC5DL Lathosterol oxidase"	Enzymes	1.14.21	Valid	3	0	o31-58i79-99o119-138i	4	31-53,79-101,114-136,183-205	3	o36-58i79-101o116-138i
IPI00022560	"CH25H Cholesterol 25-hydroxylase"	Enzymes	1.14.99	Valid	3	0	o38-62i83-104o124-145i	4	47-68,85-107,124-146,173-195	3	o43-65i86-108o123-145i
IPI00215893	"HMOX1 Heme oxygenase 1"	Enzymes	1.14.99	Valid	1	0	o267-287i	1	265-287	1	o265-287i
IPI00026824	"HMOX2 Heme oxygenase 2"	Enzymes	1.14.99	Valid	1	0	i349-369o	1	348-368	1	o350-369i
IPI00291544	"SQLE Squalene monooxygenase"	Enzymes	1.14.99	Valid	6	0	o20-42i63-81o126-143i493-511o517-535i547-566o	4	20-42,126-146,510-532,548-570	6	o20-42i63-80o126-143i490-512o516-535i547-566o
IPI00100213	"RRM2B Isoform 1 of Ribonucleoside-diphosphate reductase subunit M2 B"	Enzymes	1.17.4	Valid	1	0	o187-208i	0	0	1	i186-208o
IPI00394758	"ALDH3A2 Isoform 2 of Fatty aldehyde dehydrogenase"	Enzymes	1.2.1	Valid	2	0	i464-480o486-503i	1	468-489	1	o463-480i
IPI00009744	"ALDH3B2 Aldehyde dehydrogenase 3B2"	Enzymes	1.2.1	Valid	2	0	i12-31o37-56i	2	37-59,70-92	0	o
IPI00294501	"DHCR7 7-dehydrocholesterol reductase"	Enzymes	1.3.1	Valid	7	0	o37-58i150-170o176-197i266-286o306-327i334-351o415-440i	7	36-58,96-118,136-158,180-202,265-287,305-327,330-352	6	o37-59i151-173o178-200i264-286o332-354i414-436o
IPI00019018	"TM7SF2 Isoform 1 of Delta(14)-sterol reductase"	Enzymes	1.3.1	Valid	7	Y	n17-28c36/37o60-79i100-123o129-149i221-239o254-273i285-304o355-384i	4	24-45,64-86,100-122,246-268	6	o20-42i62-84o94-113i219-241o251-268i319-341o
IPI00093057	"CPOX Coproporphyrinogen III oxidase, mitochondrial precursor"	Enzymes	1.3.3	Valid	1	0	o73-94i	1	72-94	0	o
IPI00024462	"DHODH Dihydroorotate dehydrogenase, mitochondrial precursor"	Enzymes	1.3.3	Valid	1	0	i12-30o	0	0	1	i13-32o
IPI00032233	"SRD5A1 3-oxo-5-alpha-steroid 4-dehydrogenase 1"	Enzymes	1.3.99	Valid	5	0	o12-29i50-69o81-100i112-130o150-167i	3	9-30,80-102,109-131	4	i12-29o111-130i151-168o208-230i
IPI00010651	"SRD5A2 3-oxo-5-alpha-steroid 4-dehydrogenase 2"	Enzymes	1.3.99	Valid	7	0	o6-28i49-69o75-92i112-132o144-162i183-203o209-229i	4	9-31,73-95,146-168,198-220	6	i9-28o67-89i110-132o145-167i180-202o207-229i
IPI00002344	"SRD5A3 steroid 5 alpha-reductase 3"	Enzymes	1.3.99	Valid	6	0	i17-35o79-102i114-138o158-178i199-218o260-286i	4	21-43,79-101,123-141,153-175	6	i12-34o79-101i122-141o156-178i199-216o260-282i
IPI00008483	"MAOA Amine oxidase [flavin-containing] A"	Enzymes	1.4.3	Valid	0	0	o500-519i	0	0	0	o
IPI00873589	"MAOB Monoamine oxidase B"	Enzymes	1.4.3	Valid	1	0	o491-511i	0	0	1	o490-512i
IPI00873515	"MTHFD2L CDNA FLJ13105 fis, clone NT2RP3002351, weakly similar to Human NAD- dependent methylene tetrahydrofolate dehydrogenase cyclohydrolase"	Enzymes	1.5.1	Valid	1	0	i12-33o	1	17-39	1	i13-35o
IPI00329600	"SCCPDH Probable saccharopine dehydrogenase"	Enzymes	1.5.1	Valid	1	0	o274-300i	2	273-295,366-388	1	o277-299i
IPI00456650	"PAOX Isoform 9 of Peroxisomal N(1)-acetyl-spermine/spermidine oxidase"	Enzymes	1.5.3	Valid	1	0	o502-524i	2	9-31,502-524	0	o
IPI00032875	"ETFDH Isoform 1 of Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial precursor"	Enzymes	1.5.5	Valid	0	Y	n2-13c18/19o460-478i	0	0	0	o
IPI00337541	"NNT NAD(P) transhydrogenase, mitochondrial precursor"	Enzymes	1.6.1	Valid	14	0	i478-498o504-523i530-551o557-577i597-616o622-639i646-666o672-691i703-724o740-759i779-797o803-826i833-852o858-879i	13	479-501,505-527,531-553,597-619,621-643,646-668,670-691,701-723,735-757,772-794,811-833,858-880,924-946	12	o476-498i505-524o529-551i558-580o595-617i622-644o649-666i702-724o739-761i774-796o816-838i851-873o
IPI00880028	"- 85 kDa protein"	Enzymes	1.6.2	Valid	1	0	o28-49i	1	26-48	1	i26-48o
IPI00328415	"CYB5R3 Isoform 1 of NADH-cytochrome b5 reductase 3"	Enzymes	1.6.2	Valid	1	0	o6-23i	1	39992	0	o
IPI00185038	"DUOX1 Isoform 1 of Dual oxidase 1 precursor"	Enzymes	1.6.3	Valid	7	Y	n3-13c21/22o593-617i1045-1068o1088-1109i1152-1171o1183-1209i1221-1243o1249-1266i	4	1023-1045,1121-1143,1169-1191,1211-1233	6	o573-595i1023-1045o1060-1082i1128-1150o1165-1187i1200-1222o
IPI00794959	"DUOX2 dual oxidase 2 precursor"	Enzymes	1.6.3	Valid	7	Y	n8-20c32/33o598-622i1038-1057o1077-1099i1149-1168o1180-1205i1217-1234o1240-1259i	6	567-589,1009-1031,1095-1117,1121-1143,1155-1177,1197-1219	6	o568-590i1009-1031o1046-1068i1115-1137o1152-1174i1187-1209o
IPI00024581	"NOX3 NADPH oxidase 3"	Enzymes	1.6.3	Valid	5	0	i12-33o53-72i104-122o168-190i202-221o	6	11-32,45-67,169-191,203-225,264-286,396-418	5	i5-27o51-73i101-123o168-187i200-222o
IPI00027195	"NOX4 Isoform 1 of NADPH oxidase 4"	Enzymes	1.6.3	Valid	5	0	i20-39o59-83i104-125o154-177i189-213o	5	14-36,55-77,108-130,156-178,190-212	5	i13-35o61-83i103-125o154-176i189-211o
IPI00044456	"NOX5 Isoform 1 of NADPH oxidase 5"	Enzymes	1.6.3	Valid	7	0	i239-257o277-296i316-340o360-385i397-415o435-455i584-605o	5	239-260,274-296,368-389,406-428,434-456	7	i239-257o267-289i318-340o360-382i395-417o422-441i583-605o
IPI00656136	"- NADH-ubiquinone oxidoreductase chain 2"	Enzymes	1.6.5	Valid	9	0	o26-44i56-76o96-115i127-145o151-171i178-196o202-221i233-254o274-294i	8	17-39,64-85,96-118,148-170,178-195,200-221,240-262,281-303	8	i7-29o59-81i93-115o149-171i178-195o200-219i239-261o276-298i
IPI00007961	"MT-ND1 NADH-ubiquinone oxidoreductase chain 1"	Enzymes	1.6.5	Valid	8	0	o6-23i68-86o98-119i140-160o172-191i220-243o255-273i293-314o	8	3-24,66-88,106-128,140-162,172-194,227-249,257-279,294-315	8	o4-23i68-90o100-122i135-157o172-191i222-244o254-273i293-315o
IPI00007979	"MT-ND2 NADH-ubiquinone oxidoreductase chain 2"	Enzymes	1.6.5	Invalid	10	0	o26-44i56-76o96-115i127-145o151-171i178-196o202-219i239-257o277-305i325-346o	9	17-39,64-85,96-118,148-170,178-195,200-221,240-262,281-303,324-346	9	i7-29o59-81i93-115o149-171i178-195o200-219i239-261o276-298i324-346o
IPI00071334	"MT-ND3 NADH-ubiquinone oxidoreductase chain 3"	Enzymes	1.6.5	Valid	3	0	o6-24i55-78o84-107i	3	3-25,54-76,84-106	3	i5-27o55-77i84-106o
IPI00008495	"MT-ND4 NADH-ubiquinone oxidoreductase chain 4"	Enzymes	1.6.5	Valid	12	0	i21-41o61-81i93-110o116-136i148-167o196-216i223-244o256-277i284-303o309-330i351-369o389-409i	12	1-18,27-49,60-82,104-126,154-176,185-207,226-248,256-278,282-304,310-331,363-385,390-412	10	i23-45o100-122i143-165o194-216i221-243o258-277i284-303o308-330i351-373o388-410i
IPI00291948	"MT-ND4L NADH-ubiquinone oxidoreductase chain 4L"	Enzymes	1.6.5	Valid	3	0	o6-22i29-49o55-79i	3	1-23,26-48,59-81	3	o4-21i26-48o58-80i
IPI00221391	"MT-ND5 NADH dehydrogenase subunit 5"	Enzymes	1.6.5	Valid	14	Y	n8-16c21/22o84-105i117-134o140-160i172-191o211-233i245-266o272-294i301-319o325-347i368-386o406-433i454-472o484-507i584-602o	10	19-41,64-86,106-128,153-174,223-245,256-277,305-327,463-485,493-515,561-582	15	i13-35o64-86i99-116o120-139i151-170o190-212i224-246o251-273i280-299o304-326i347-366o386-408i429-451o461-483i562-581o
IPI00008525	"MT-ND6 NADH-ubiquinone oxidoreductase chain 6"	Enzymes	1.6.5	Valid	5	Y	n3-10c15/16o25-46i53-75o81-104i111-128o148-168i	4	11-33,36-58,69-91,130-152	5	o10-32i37-59o69-91i96-113o133-155i
IPI00005695	"NDUFA1 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1"	Enzymes	1.6.5	Valid	1	0	o6-27i	1	39960	1	o5-27i
IPI00219685	"NDUFA13 cell death-regulatory protein GRIM19"	Enzymes	1.6.5	Valid	1	0	o113-133i	0	0	1	i112-134o
IPI00871897	"NDUFA3 Uncharacterized protein NDUFA3 (Fragment)"	Enzymes	1.6.5	Valid	1	0	o18-39i	1	11567	1	o20-39i
IPI00011770	"NDUFA4 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4"	Enzymes	1.6.5	Valid	1	0	i12-34o	0	0	1	o15-37i
IPI00025725	"NDUFB1 NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 1, 7kDa"	Enzymes	1.6.5	Valid	2	0	i30-52o58-74i	2	32-54,56-75	1	o30-52i
IPI00478450	"NDUFB11 Isoform 2 of NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial precursor"	Enzymes	1.6.5	Valid	1	Y	n2-10c15/16o89-109i	1	73-95	1	o72-94i
IPI00219383	"NDUFB3 NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3"	Enzymes	1.6.5	Valid	1	0	o70-88i	0	0	1	o66-88i
IPI00220059	"NDUFB4;LOC727762 NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4"	Enzymes	1.6.5	Valid	1	0	o87-105i	1	85-107	1	o88-105i
IPI00013459	"NDUFB5 NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial precursor"	Enzymes	1.6.5	Valid	1	0	i71-93o	2	3-25,72-94	1	i70-92o
IPI00219385	"NDUFB6 NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6"	Enzymes	1.6.5	Valid	1	0	i68-86o	1	68-90	1	i68-86o
IPI00028883	"NDUFB8 NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial precursor"	Enzymes	1.6.5	Valid	1	0	o124-146i	1	126-148	1	i124-146o
IPI00029558	"NDUFC2 NADH dehydrogenase [ubiquinone] 1 subunit C2"	Enzymes	1.6.5	Valid	2	0	o30-47i59-75o	0	0	1	o56-75i
IPI00003590	"QSOX1 Isoform 1 of Sulfhydryl oxidase 1 precursor"	Enzymes	1.8.3	Valid	1	Y	n13-24c29/30o714-731i	0	0	1	o678-700i
IPI00376394	"QSOX2 Sulfhydryl oxidase 2 precursor"	Enzymes	1.8.3	Valid	1	Y	n2-9c21/22o665-682i	2	8-30,633-655	1	o640-662i
IPI00436520	"- Cytochrome c oxidase VIIc"	Enzymes	1.9.3	Valid	1	0	o35-56i	1	36-58	1	o37-56i
IPI00006579	"COX4I1 Cytochrome c oxidase subunit 4 isoform 1, mitochondrial precursor"	Enzymes	1.9.3	Valid	1	0	i102-120o	1	101-123	1	i103-120o
IPI00064655	"COX4I2 Cytochrome c oxidase subunit 4 isoform 2, mitochondrial precursor"	Enzymes	1.9.3	Valid	1	0	i104-122o	1	105-125	1	i105-127o
IPI00021793	"COX6A1 Cytochrome c oxidase polypeptide VIa-liver, mitochondrial precursor"	Enzymes	1.9.3	Valid	1	0	o41-59i	1	37-58	1	o40-59i
IPI00293876	"COX6A2 Cytochrome c oxidase polypeptide VIa-heart, mitochondrial precursor"	Enzymes	1.9.3	Valid	1	0	o30-49i	1	27-49	0	o
IPI00015972	"COX6C Cytochrome c oxidase polypeptide VIc precursor"	Enzymes	1.9.3	Valid	1	0	o20-37i	1	20-38	1	o20-37i
IPI00796142	"COX7A1 Protein"	Enzymes	1.9.3	Valid	1	0	i81-99o	0	0	1	o81-103i
IPI00026570	"COX7A2 Cytochrome c oxidase polypeptide VIIa-liver/heart, mitochondrial precursor"	Enzymes	1.9.3	Valid	2	0	o12-31i85-103o	2	9-31,85-107	2	o10-29i85-107o
IPI00019505	"COX8A Cytochrome c oxidase polypeptide VIII-liver/heart, mitochondrial precursor"	Enzymes	1.9.3	Valid	1	Y	n3-13c18/19o37-59i	1	20-42	1	o20-42i
IPI00376004	"COX8C Cytochrome c oxidase polypeptide 8 isoform 3, mitochondrial precursor"	Enzymes	1.9.3	Valid	1	Y	n17-22c29/30o45-64i	0	0	1	o15-37i
IPI00464968	"MT-CO1 Cytochrome c oxidase subunit I"	Enzymes	1.9.3	Valid	12	0	i18-37o57-83i104-128o148-171i183-210o243-261i268-291o303-325i337-359o379-400i412-430o450-473i	12	20-42,63-85,100-122,147-169,186-208,241-263,270-292,306-328,339-361,377-399,407-429,456-478	12	i20-42o57-79i100-122o147-169i182-204o236-258i271-293o303-325i337-359o374-396i409-431o451-473i
IPI00017510	"MT-CO2 Cytochrome c oxidase subunit 2"	Enzymes	1.9.3	Valid	2	0	i27-46o66-85i	2	22-44,61-83	2	i26-48o63-85i
IPI00017533	"MT-CO3 Cytochrome c oxidase subunit 3"	Enzymes	1.9.3	Valid	7	0	i16-35o41-58i79-102o129-147i159-177o197-220i240-260o	7	13-34,37-59,79-101,130-152,161-183,199-221,240-261	6	o15-37i42-59o79-101i160-182o197-219i240-259o
IPI00176681	"RP3-405J24.3 Cytochrome c oxidase polypeptide VIa"	Enzymes	1.9.3	Invalid	1	Y	n2-9c14/15o38-59i	1	23-44	0	o
IPI00028634	"DIO1 Isoform a of Type I iodothyronine deiodinase"	Enzymes	1.97.1	Valid	1	0	o12-33i	0	0	1	i13-35o
IPI00030716	"DIO2 Isoform 2 of Type II iodothyronine deiodinase"	Enzymes	1.97.1	Valid	1	0	o18-42i	1	12754	0	o
IPI00296437	"DIO3 Type III iodothyronine deiodinase"	Enzymes	1.97.1	Valid	0	0	o20-41i	0	0	0	o
IPI00031458	"ICMT Protein-S-isoprenylcysteine O-methyltransferase"	Enzymes	2.1.1	Valid	6	0	i16-34o40-59i66-87o93-113i125-143o155-173i	6	14-36,44-66,82-104,152-173,198-220,224-245	4	i16-38o42-59i66-88o216-238i
IPI00328921	"PEMT phosphatidylethanolamine N-methyltransferase isoform 1"	Enzymes	2.1.1	Valid	4	0	i48-66o86-103i124-148o187-216i	3	83-105,131-153,194-216	4	i41-63o83-105i126-148o194-216i
IPI00796781	"ACAA1 17 kDa protein"	Enzymes	2.3.1	Valid	1	0	i139-157o	1	46-68	0	o
IPI00019141	"AGPAT1 1-acyl-sn-glycerol-3-phosphate acyltransferase alpha"	Enzymes	2.3.1	Valid	2	Y	n10-22c27/28o43-60i129-147o	3	11-32,35-57,101-121	1	i13-35o
IPI00464993	"AGPAT2 1-acylglycerol-3-phosphate O-acyltransferase 2"	Enzymes	2.3.1	Valid	3	Y	n6-17c21/22o31-51i124-142o189-208i	3	8-30,38-60,102-122	3	o10-30i103-121o168-190i
IPI00749011	"AGPAT3 1-acyl-sn-glycerol-3-phosphate acyltransferase gamma"	Enzymes	2.3.1	Valid	3	0	o98-126i395-417o423-443i	5	78-100,107-129,136-158,212-231,404-426	4	i98-120o213-230i395-417o422-444i
IPI00016956	"AGPAT4 1-acyl-sn-glycerol-3-phosphate acyltransferase delta"	Enzymes	2.3.1	Valid	3	0	o12-39i308-330o336-356i	3	2-24,308-330,338-360	3	o20-42i308-330o335-357i
IPI00028491	"AGPAT5 1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon"	Enzymes	2.3.1	Valid	3	0	o14-35i321-338o344-362i	0	0	3	i13-35o55-77i345-362o
IPI00016070	"AGPAT6 1-acyl-sn-glycerol-3-phosphate acyltransferase zeta precursor"	Enzymes	2.3.1	Valid	4	0	o12-42i156-174o180-201i371-388o	4	11-33,156-178,182-204,367-389	3	o20-42i156-175o180-202i
IPI00385128	"AGPAT7 Isoform 1 of 1-acyl-sn-glycerol-3-phosphate acyltransferase eta"	Enzymes	2.3.1	Valid	2	0	i39-62o92-109i	1	45-67	1	i40-62o
IPI00140301	"AGPAT9 1-acyl-sn-glycerol-3-phosphate acyltransferase theta"	Enzymes	2.3.1	Valid	3	0	o12-34i137-155o161-181i	4	21-43,137-159,163-185,348-370	2	o10-32i156-178o
IPI00032038	"CPT1A Isoform 1 of Carnitine O-palmitoyltransferase I, liver isoform"	Enzymes	2.3.1	Valid	2	0	i50-71o104-126i	2	51-73,103-125	2	o62-84i104-126o
IPI00021925	"CPT1B Carnitine palmitoyltransferase 1B isoform a variant"	Enzymes	2.3.1	Valid	2	0	o133-155i176-195o	0	0	2	o133-155i176-195o
IPI00152358	"CPT1C Isoform 1 of Carnitine O-palmitoyltransferase I, brain isoform"	Enzymes	2.3.1	Valid	2	0	i50-75o104-126i	2	51-73,107-129	2	o53-75i104-126o
